PINOUT,DAISY PIN NAME*,STM32 PIN NAME,PRIMARY FUNCTION,ALT. FUNCTIONS 1,ALT. FUNCTIONS 2
A1,,,VIN,VIN,
A2,,,VIN,VIN,
A3,,,+3V3D,3v3_D,
A4,,,+3V3D,3v3_D,
A5,,,+3V3A,3v3_A,
A6,,,GND,GND,
A7,,,GND,GND,
A8,,,GND,GND,
A9,,,GND,GND,
A10,,,GND,GND,
B1,D9,PB4,GPIO,SPI1_MISO/UART7_TX,SPI1_MISO/I2S1_SDI/SPI3_MISO/I2S3_SDI/SPI6_MISO
B2,D8,PG11,GPIO,SPI1_SCK/I2S1_CK,LPTIM1_IN2/HRTIM_EEV4
B3,D13,PB6,GPIO,USART1_TX/LPUART1_TX/UART5_TX,I2C1_SCL/I2C4_SCL/ TIM16_CH1N/TIM4_CH1
B4,D10,PB5,GPIO,SPI1_MOSI/UART5_RX,SPI1_MOSI/I2S1_SDO/SPI3_MOSI/I2S3_SDO/SPI6_MOSI/I2C4_SMBA/ TIM17_BKIN
B5,D14,PB7,GPIO,USART1_RX/LPUART1_RX,I2C1_SDA/I2C4_SDA/TIM17_CH1N/TIM4_CH2
B6,D7,PG10,GPIO,SPI1_NSS/I2S1_WS,HRTIM_FLT5
B7,D11,PB8,GPIO,I2C1_SCL/UART4_RX,I2C4_SCL/TIM16_CH1/TIM4_CH3
B8,D12,PB9,GPIO,I2C1_SDA/UART4_TX/SPI2_NSS/I2S2_WS,I2C4_SDA/I2C4_SMBA/TIM17_CH1/TIM4_CH4
B9,D30,PB15,GPIO,USB_HS_D+/USART1_RX,
B10,D29,PB14,GPIO,USB_HS_D-/USART_1_TX,TIM1_CH2N
C1,D16 / A1,PA3,GPIO,ADC1/USART2_RX,TIM2_CH4/TIM5_CH4
C2,D19 / A4,PA6,GPIO,ADC4/SPI1_MISO/I2S1_SDI/SPI6_MISO,TIM1_BKIN/TIM3_CH1
C3,D20 / A5,PC1,GPIO,ADC5,
C4,D18 / A3,PA7,GPIO,ADC3/SPI1_MOSI/I2S1_SDO/SPI6_MOSI,TIM1_CH1N/TIM3_CH2
C5,D17 / A2,PB1,GPIO,ADC2,TIM1_CH3N/TIM3_CH4
C6,D21 / A6,PC4,GPIO,ADC6/I2S1_MCK,
C7,D15 / A0,PC0,GPIO,ADC0/SAI2_FS_B,
C8,D23 / A8,PA4,GPIO,DAC1/ADC8,SPI1_NSS/I2S1_WS/SPI3_NSS/I2S3_WS/SPI6_NSS/D1PWREN
C9,D22 / A7,PA5,GPIO,DAC2/ADC7,SPI1_SCK/I2S1_CK/SPI6_SCK/ D2PWREN/TIM2_CH1
C10,D31** / A12,PC2,GPIO,SPI2_MISO/ADC12,
D1,,,AUDIO IN L,AUDIO IN L,
D2,,,AUDIO IN R,AUDIO IN R,
D3,,,,AUDIO VCOM,
D4,,,AUDIO OUT L,AUDIO OUT L-,
D5,,,AUDIO OUT L,AUDIO OUT L+,
D6,,,AUDIO OUT R,AUDIO OUT R+,
D7,,,AUDIO OUT R,AUDIO OUT R-,
D8,D32** / A13,PC3,GPIO,SPI2_MOSI/ADC13,
D9,D0,PB12,GPIO,USB_HS_ID/UART5_RX/USART3_CK,TIM1_BKIN
D10,D27,PG9,GPIO,SAI2_FS_B/USART6_RX,SPI1_MISO/I2S1_SDI
E1,D24 / A9,PA1,GPIO,ADC9/SAI2_MCLK_B,UART4_RX/TIM2_CH2/TIM5_CH2
E2,D25 / A10,PA0,GPIO,ADC10/SAI2_SD_B,UART4_TX/TIM2_CH1/TIM2_ETR/TIM5_CH1
E3,D26,PD11,GPIO,SAI2_SD_A/I2C4_SMBA,LPTIM2_IN2
E4,D28 / A11,PA2,GPIO,ADC11/SAI2_SCK_B,USART2_TX/TIM2_CH3/TIM5_CH3
E5,D6,PC12,GPIO,SDMMC_CK/UART5_TX/USART3_CK,SPI3_MOSI/I2S3_SDO
E6,D5,PD2,GPIO,SDMMC_CMD/UART5_RX,
E7,D4,PC8,GPIO,SDMMC_D0/UART5_CTS,
E8,D3,PC9,GPIO,SDMMC_D1/UART5_CTS,I2S_CKIN/MCO2
E9,D2,PC10,GPIO,SDMMC_D2/USART3_TX/UART4_TX,SPI3_SCK/I2S3_CK/HRTIM_EEV1
E10,D1,PC11,GPIO,SDMMC_D3/USART3_RX/UART4_RX,SPI3_MISO/ I2S3_SDI/HRTIM_FLT2